Image ID,anno_id
PTXH220103024,sub_001
PTXH220104042,sub_002
PTXH220104054,sub_003
PTXH220107042,sub_004
PTXH220110049,sub_005
PTXH220111009,sub_006
PTXH220113047,sub_007
PTXH220114003,sub_008
PTXH220114027,sub_009
PTXH220117021,sub_010
PTXH220118004,sub_011
PTXH220118028,sub_012
PTXH220119010,sub_013
PTXH220120017,sub_014
PTXH220121006,sub_015
PTXH220121039,sub_016
PTXH220121045,sub_017
PTXH220122001,sub_018
PTXH220122013,sub_019
PTXH220124017,sub_020
PTXH220124045,sub_021
PTXH220124071,sub_022
PTXH220125020,sub_023
PTXH220206008,sub_024
PTXH220206045,sub_025
PTXH220207028,sub_026
PTXH220207031,sub_027
PTXH220207039,sub_028
PTXH220210035,sub_029
PTXH220210039,sub_030
PTXH220211021,sub_031
PTXH220214053,sub_032
PTXH220215003,sub_033
PTXH220215026,sub_034
PTXH220217061,sub_035
PTXH220217077,sub_036
PTXH220217080,sub_037
PTXH220218049,sub_038
PTXH220218052,sub_039
PTXH220226011,sub_040
PTXH220301010,sub_041
PTXH220302017,sub_042
PTXH220302035,sub_043
PTXH220303026,sub_044
PTXH220308019,sub_045
PTXH220308032,sub_046
PTXH220309001,sub_047
PTXH220309026,sub_048
PTXH220310029,sub_049
PTXH220319040,sub_050
PTXH220330001,sub_051
PTXH220330011,sub_052
PTXH220514006,sub_053
PTXH220524017,sub_054
PTXH220527012,sub_055
PTXH220606009,sub_056
PTXH220606017,sub_057
PTXH220610033,sub_058
PTXH220613040,sub_059
PTXH220614054,sub_060
PTXH220701003,sub_061
PTXH220704002,sub_062
PTXH220704036,sub_063
PTXH220704038,sub_064
PTXH220706050,sub_065
PTXH220718021,sub_066
PTXH220723029,sub_067
PTXH220726037,sub_068
PTXH220729015,sub_069
PTXH220729018,sub_070
PTXH220730005,sub_071
PTXH220801058,sub_072
PTXH220802025,sub_073
PTXH220803008,sub_074
PTXH220803010,sub_075
PTXH220803051,sub_076
PTXH220804019,sub_077
PTXH220805042,sub_078
PTXH220806017,sub_079
PTXH220808004,sub_080
PTXH220808039,sub_081
PTXH220809017,sub_082
PTXH220810006,sub_083
PTXH220811008,sub_084
PTXH220812005,sub_085
PTXH220812024,sub_086
PTXH220812027,sub_087
PTXH220813013,sub_088
PTXH220813026,sub_089
PTXH220814014,sub_090
PTXH220818001,sub_091
PTXH220818014,sub_092
PTXH220820001,sub_093
PTXH220821005,sub_094
PTXH220822003,sub_095
PTXH220822021,sub_096
PTXH220822040,sub_097
PTXH220823012,sub_098
PTXH220823038,sub_099
PTXH220826020,sub_100
PTXH220828001,sub_101
PTXH220828002,sub_102
PTXH220828015,sub_103
PTXH220829010,sub_104
PTXH220830037,sub_105
